S=0    X=1    Answer=0
S=101    X=9    Answer=3
S=471    X=47    Answer=2
S=2222    X=97    Answer=5
S=95847362    X=436    Answer=216
S=102030405    X=85    Answer=316
S=8034151889109199226907    X=368249157    Answer=2582766
S=54019091675924410392006963001976    X=33857108    Answer=3685790257
S=949778566115406970397000000000000000000079641169    X=694874013    Answer=281455487794133
S=990450814731595674899314817951534213891202482671    X=777444111    Answer=241891551624992
S=906708300000000816661861190246822256891226113143    X=13879163    Answer=200119655333575
S=547371145238239979608276364147467162445006834154    X=26862    Answer=281474707766866
S=550000096205335065730009666579861000000769420768    X=75676722    Answer=213163063953684
S=957837542544882028114572037810101728066730780324    X=536624519    Answer=281469731899716
